"Betweenness","BottleNeck","Closeness","ClusteringCoefficient","Degree","DMNC","EcCentricity","EPC","MCC","MNC","Radiality","Stress"
"0.0","1.0","14.61667","1.0","2.0","0.30779","0.14419","1.622","2.0","2.0","3.58062","0.0"
"0.0","1.0","3.83333","1.0","2.0","0.30779","0.05426","1.18","2.0","2.0","0.46124","0.0"
"60.10526","2.0","15.61667","0.16667","4.0","0.30779","0.14419","2.337","4.0","2.0","3.62868","120.0"
"0.0","1.0","10.45","0.0","1.0","0.0","0.12016","1.134","1.0","1.0","2.93178","0.0"
"0.0","1.0","8.25","0.0","1.0","0.0","0.12016","1.08","1.0","1.0","2.30698","0.0"
"0.0","1.0","1.0","0.0","1.0","0.0","0.04651","1.067","1.0","1.0","0.13953","0.0"
"0.0","1.0","1.0","0.0","1.0","0.0","0.04651","1.067","1.0","1.0","0.13953","0.0"
"0.0","1.0","4.33333","1.0","3.0","0.46346","0.05426","1.266","6.0","3.0","0.48837","0.0"
"58.0","2.0","10.95","0.0","2.0","0.0","0.14419","1.187","2.0","1.0","3.00388","66.0"
"0.0","1.0","1.5","0.0","1.0","0.0","0.03488","1.094","1.0","1.0","0.2093","0.0"
"5.33333","5.0","5.5","0.6","5.0","0.38896","0.0814","1.398","14.0","5.0","0.56977","12.0"
"5.33333","1.0","5.5","0.6","5.0","0.38896","0.0814","1.411","14.0","5.0","0.56977","12.0"
"1.33333","1.0","5.0","0.83333","4.0","0.47366","0.0814","1.384","12.0","4.0","0.54264","4.0"
"0.0","1.0","13.7","0.0","1.0","0.0","0.14419","1.491","1.0","1.0","3.4845","0.0"
"0.0","1.0","14.0","0.0","1.0","0.0","0.18023","1.606","1.0","1.0","3.55659","0.0"
"112.0","3.0","14.91667","0.0","2.0","0.0","0.18023","1.486","2.0","1.0","3.65271","128.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.488","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.118","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.238","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.329","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","7.952","9.223372036854777E13","20.0","4.15736","4.0"
"55.21637","3.0","25.41667","0.82251","22.0","0.99228","0.18023","8.489","9.223372036854777E13","22.0","4.20543","122.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.129","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.091","9.223372036854777E13","20.0","4.15736","4.0"
"58.21637","2.0","24.91667","0.89524","21.0","1.15453","0.18023","8.194","9.223372036854777E13","20.0","4.1814","70.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.077","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.159","9.223372036854777E13","20.0","4.15736","4.0"
"106.0","4.0","25.08333","0.81905","21.0","1.14582","0.18023","8.095","9.223372036854777E13","19.0","4.20543","168.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.002","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.174","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.192","9.223372036854777E13","20.0","4.15736","4.0"
"214.21637","5.0","25.66667","0.81385","22.0","1.15453","0.24031","8.214","9.223372036854777E13","20.0","4.25349","250.0"
"50.0","1.0","24.08333","0.89474","19.0","1.1239","0.18023","7.723","9.223372036854777E13","18.0","4.15736","108.0"
"0.0","1.0","23.91667","1.0","19.0","1.14582","0.18023","7.969","9.223372036854777E13","19.0","4.13333","0.0"
"0.0","1.0","14.36667","1.0","2.0","0.30779","0.14419","2.029","2.0","2.0","3.53256","0.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","7.857","9.223372036854777E13","20.0","4.15736","4.0"
"0.21637","1.0","24.41667","0.98947","20.0","1.15453","0.18023","8.176","9.223372036854777E13","20.0","4.15736","4.0"
"0.0","1.0","14.36667","1.0","2.0","0.30779","0.14419","2.097","2.0","2.0","3.53256","0.0"
"55.21637","1.0","25.41667","0.82251","22.0","0.99228","0.18023","8.291","9.223372036854777E13","22.0","4.20543","122.0"
"10.0","2.0","5.0","0.5","4.0","0.46346","0.0814","1.356","7.0","3.0","0.54264","16.0"
"0.0","1.0","3.16667","0.0","1.0","0.0","0.05426","1.095","1.0","1.0","0.40698","0.0"
"2.0","3.0","2.0","0.0","2.0","0.0","0.06977","1.164","2.0","1.0","0.24419","2.0"
"0.0","1.0","1.5","0.0","1.0","0.0","0.03488","1.076","1.0","1.0","0.2093","0.0"
