#node1,node2
ADAMTS4,THBS1
ANXA5,CDKN3
ARID1A,MACROD2
ARID1A,DPF2
ARID1A,SMARCD3
ARID1A,AXIN1
ARID1A,BICRAL
ARID1A,SS18L1
ARID1A,BCL11A
ARID1A,BICRA
ARID1A,PHF10
ARID1A,BCL7B
ARID1A,SS18
ARID1A,DPF3
ARID1A,BCL7C
ARID1A,BRD9
ARID1A,BCL7A
ARID1A,SMARCD2
ARID1A,ARID2
ARID1A,DPF1
ARID1A,ARID1B
ARID1A,SMARCD1
ARID1A,SMARCE1
ARID1A,SMARCC2
ARID1B,DPF2
ARID1B,SMARCD3
ARID1B,BICRAL
ARID1B,SMARCE1
ARID1B,SS18L1
ARID1B,ARID2
ARID1B,PHF10
ARID1B,DPF1
ARID1B,BCL7C
ARID1B,SMARCD1
ARID1B,BICRA
ARID1B,SMARCD2
ARID1B,BCL7B
ARID1B,SS18
ARID1B,BRD9
ARID1B,BCL7A
ARID1B,SMARCC2
ARID1B,DPF3
ARID1B,BCL11A
ARID2,MACROD2
ARID2,DPF2
ARID2,SMARCD3
ARID2,AXIN1
ARID2,BICRAL
ARID2,SMARCE1
ARID2,SS18L1
ARID2,BCL7B
ARID2,BCL11A
ARID2,DPF1
ARID2,BICRA
ARID2,SS18
ARID2,BCL7A
ARID2,SMARCD2
ARID2,BCL7C
ARID2,BRD9
ARID2,DPF3
ARID2,PHF10
ARID2,SMARCC2
ARID2,SMARCD1
BCL11A,DPF2
BCL11A,SMARCD3
BCL11A,BICRAL
BCL11A,EBF1
BCL11A,SMARCE1
BCL11A,SS18L1
BCL11A,HIP1
BCL11A,PHF10
BCL11A,DPF1
BCL11A,BCL7C
BCL11A,SMARCD1
BCL11A,BICRA
BCL11A,SMARCD2
BCL11A,BCL7B
BCL11A,SS18
BCL11A,BRD9
BCL11A,BCL7A
BCL11A,SMARCC2
BCL11A,DPF3
BCL7A,DPF2
BCL7A,SMARCD3
BCL7A,BICRAL
BCL7A,SMARCE1
BCL7A,SS18L1
BCL7A,PHF10
BCL7A,DPF1
BCL7A,BCL7C
BCL7A,SMARCD1
BCL7A,BICRA
BCL7A,SMARCD2
BCL7A,BCL7B
BCL7A,SS18
BCL7A,BRD9
BCL7A,DPF3
BCL7A,SMARCC2
BCL7B,DPF2
BCL7B,SMARCD3
BCL7B,BICRAL
BCL7B,SMARCE1
BCL7B,SS18L1
BCL7B,PHF10
BCL7B,DPF1
BCL7B,BCL7C
BCL7B,SMARCD1
BCL7B,BICRA
BCL7B,SMARCD2
BCL7B,DPF3
BCL7B,BRD9
BCL7B,SS18
BCL7B,SMARCC2
BCL7C,DPF2
BCL7C,SMARCD3
BCL7C,BICRAL
BCL7C,SMARCE1
BCL7C,SS18L1
BCL7C,PHF10
BCL7C,DPF1
BCL7C,DPF3
BCL7C,BICRA
BCL7C,SMARCC2
BCL7C,SMARCD2
BCL7C,BRD9
BCL7C,SMARCD1
BCL7C,SS18
BICRA,DPF2
BICRA,SMARCD3
BICRA,BICRAL
BICRA,SMARCE1
BICRA,SS18L1
BICRA,PHF10
BICRA,DPF1
BICRA,SMARCD1
BICRA,DPF3
BICRA,SMARCD2
BICRA,SMARCC2
BICRA,SS18
BICRA,BRD9
BICRAL,DPF2
BICRAL,SMARCD3
BICRAL,DPF3
BICRAL,DPF1
BICRAL,PHF10
BICRAL,SS18
BICRAL,SMARCD2
BICRAL,SMARCC2
BICRAL,SMARCE1
BICRAL,SMARCD1
BICRAL,BRD9
BRD9,DPF2
BRD9,SMARCD3
BRD9,SMARCE1
BRD9,SS18L1
BRD9,PHF10
BRD9,DPF1
BRD9,SMARCD1
BRD9,CECR2
BRD9,SMARCD2
BRD9,SS18
BRD9,DPF3
BRD9,SMARCC2
CDKN3,KIF11
CDKN3,SKA1
CDKN3,SKA3
CXCL5,THBS1
DPF1,DPF2
DPF1,SMARCD3
DPF1,SMARCE1
DPF1,SS18L1
DPF1,PHF10
DPF1,SS18
DPF1,SMARCD2
DPF1,SMARCD1
DPF1,SMARCC2
DPF1,DPF3
DPF2,PHF10
DPF2,DPF3
DPF2,SS18
DPF2,SS18L1
DPF2,SMARCD3
DPF2,SMARCD2
DPF2,SMARCE1
DPF2,SMARCD1
DPF2,SMARCC2
DPF3,SMARCD3
DPF3,SMARCE1
DPF3,SS18L1
DPF3,PHF10
DPF3,SMARCD1
DPF3,SMARCD2
DPF3,SS18
DPF3,SMARCC2
EBF1,MED17
INCENP,KIF11
INCENP,SKA1
INCENP,SKA3
JAM2,PARD6B
KIF11,SKA3
KIF11,SKA1
LPL,MED17
MAGED4B,SSX2B
PHF10,SMARCD3
PHF10,SMARCE1
PHF10,SS18L1
PHF10,SS18
PHF10,SMARCD2
PHF10,SMARCD1
PHF10,SMARCC2
PYCR2,SKA1
PYCR2,SKA3
RBM14,SSX2B
RBM14,SS18
SKA1,SKA3
SMARCC2,SMARCD3
SMARCC2,SMARCE1
SMARCC2,SS18L1
SMARCC2,SMARCD1
SMARCC2,SMARCD2
SMARCC2,SS18
SMARCD1,SMARCD3
SMARCD1,SMARCE1
SMARCD1,SS18L1
SMARCD1,SS18
SMARCD1,SMARCD2
SMARCD2,SMARCD3
SMARCD2,SMARCE1
SMARCD2,SS18L1
SMARCD2,SS18
SMARCD3,SS18L1
SMARCD3,SS18
SMARCD3,SMARCE1
SMARCE1,SS18L1
SMARCE1,SS18
SS18,SSX2B
SS18L1,SSX2B
