"name","selected","shared name"
"SMARCD1","false","SMARCD1"
"DPF3","false","DPF3"
"AXIN1","false","AXIN1"
"SMARCE1","false","SMARCE1"
"BICRAL","false","BICRAL"
"BCL7C","false","BCL7C"
"SS18L1","false","SS18L1"
"SMARCC2","false","SMARCC2"
"BRD9","false","BRD9"
"BCL7A","false","BCL7A"
"BCL11A","false","BCL11A"
"SMARCD2","false","SMARCD2"
"BICRA","false","BICRA"
"ARID1A","false","ARID1A"
"PHF10","false","PHF10"
"ARID2","false","ARID2"
"MACROD2","false","MACROD2"
"DPF2","false","DPF2"
"DPF1","false","DPF1"
"BCL7B","false","BCL7B"
"SS18","false","SS18"
"SMARCD3","false","SMARCD3"
"ARID1B","false","ARID1B"
