baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
3.705800134,-0.263966565,0.249800214,-1.056710727,0.290643628,0.999962279,TSPAN6
0,NA,NA,NA,NA,NA,TNMD
554.9729037,-0.025228651,0.042644795,-0.591599767,0.55411863,0.999962279,DPM1
582.6454134,0.014649465,0.035283972,0.415187537,0.678004622,0.999962279,SCYL3
152.5279942,0.002828079,0.051955928,0.054432266,0.956590772,0.999962279,FIRRM
16225.85067,-0.010846785,0.070820932,-0.153157898,0.878273758,0.999962279,FGR
147.2334234,0.016231688,0.160996968,0.100819834,0.919693482,0.999962279,CFH
457.0344394,-0.123384447,0.060891586,-2.02629715,0.042734343,0.999962279,FUCA2
427.5231981,0.017372836,0.048016106,0.361812688,0.71749201,0.999962279,GCLC
1348.602504,-0.013611995,0.058031253,-0.234563171,0.814547797,0.999962279,NFYA
37.79219279,-0.016536235,0.09121308,-0.181292368,0.856138096,0.999962279,STPG1
646.9401563,-0.019934583,0.061371153,-0.324820081,0.745317246,0.999962279,NIPAL3
572.2045669,-0.00386172,0.034404718,-0.112243894,0.910630027,0.999962279,LAS1L
478.3131496,0.036314671,0.095704511,0.379445764,0.704356872,0.999962279,ENPP4
0.4372709,-0.645402383,0.597252249,-1.080619428,0.279866437,0.999962279,SEMA3F
0.147360626,0.073431885,1.10779512,0.066286522,0.947149714,0.999962279,CFTR
986.2215731,-0.015740449,0.038271111,-0.411288002,0.680861366,0.999962279,ANKIB1
173.9655419,0.037532052,0.103187302,0.363727433,0.716061556,0.999962279,CYP51A1
1043.451218,-0.040074125,0.04343136,-0.92270022,0.356163451,0.999962279,KRIT1
201.5026608,-0.038782517,0.056716198,-0.683799671,0.494101675,0.999962279,RAD52
0.016168469,-0.002072178,3.362944454,-0.00061618,0.99950836,0.999962279,NA
207.0248355,-0.026731511,0.062390443,-0.428455223,0.668319727,0.999962279,BAD
1141.308816,-0.138796218,0.138679196,-1.000843829,0.316902316,0.999962279,LAP3
2193.657099,-0.037390986,0.065154159,-0.573884864,0.566045716,0.999962279,CD99
17.23010173,0.540712958,0.190228993,2.842431906,0.004477079,0.999962279,HS3ST1
36.29112386,-0.063223865,0.364239512,-0.173577724,0.86219734,0.999962279,AOC1
21.80316062,0.261404951,0.166286575,1.572014767,0.115947127,0.999962279,WNT16
0.287690226,-0.441437692,0.664214526,-0.664601081,0.506305677,0.999962279,HECW1
422.8422743,-0.015930284,0.059682877,-0.266915492,0.789534228,0.999962279,MAD1L1
10485.81553,0.016107167,0.063842124,0.252296854,0.80081162,0.999962279,LASP1
1085.140804,-0.010367525,0.066705241,-0.155422952,0.876487891,0.999962279,SNX11
402.4824016,0.026372448,0.292251923,0.090238748,0.928097493,0.999962279,TMEM176A
2779.795305,-0.011829395,0.042938148,-0.275498502,0.782933277,0.999962279,M6PR
7.223098101,0.080853939,0.19139314,0.422449512,0.672696945,0.999962279,KLHL13
1.019124698,3.613861259,2.2962505,1.573809677,0.115531456,0.999962279,CYP26B1
62.41066197,-0.010985291,0.084730733,-0.129649423,0.896843799,0.999962279,ICA1
50.10878683,0.190993172,0.216000227,0.884226721,0.376573837,0.999962279,DBNDD1
454.6837588,-0.01231213,0.063750984,-0.193128478,0.84685835,0.999962279,ALS2
1142.010313,-0.122671664,0.049495997,-2.478415839,0.013196724,0.999962279,CASP10
22898.39943,0.04011992,0.080592889,0.497809677,0.618618195,0.999962279,CFLAR
6.156249005,-0.110297342,0.187230941,-0.589097836,0.555795645,0.999962279,TFPI
330.2255745,-0.02001316,0.031105966,-0.643386562,0.519973301,0.999962279,NDUFAF7
6463.935783,-0.000337081,0.038875181,-0.008670851,0.993081749,0.999962279,RBM5
63.58063353,-0.084247104,0.065514694,-1.285926845,0.198468594,0.999962279,MTMR7
0,NA,NA,NA,NA,NA,SLC7A2
1946.689342,-0.079998759,0.059514993,-1.344178243,0.178890755,0.999962279,ARF5
470.0311873,-0.026779927,0.0568407,-0.471140002,0.637540761,0.999962279,SARM1
667.8894286,-0.054426276,0.031944535,-1.703774226,0.088423275,0.999962279,POLDIP2
1982.068464,-0.001932015,0.089121871,-0.021678348,0.982704535,0.999962279,PLXND1
1525.552123,-0.032615049,0.029146841,-1.118990848,0.263144043,0.999962279,AK2
558.1155009,-0.130357595,0.09812312,-1.328510506,0.184009515,0.999962279,CD38
445.7722033,0.055210304,0.052561165,1.050401069,0.293533754,0.999962279,FKBP4
906.2562315,-0.023154319,0.033714279,-0.68678079,0.492220877,0.999962279,KDM1A
3772.378685,0.013091358,0.045390888,0.288413788,0.773030015,0.999962279,RBM6
606.1962198,-0.006956121,0.109973249,-0.063252847,0.949565163,0.999962279,CAMKK1
1169.455623,0.003072141,0.039350375,0.07807146,0.93777121,0.999962279,RECQL
384.5938312,-0.012321036,0.047079966,-0.261704435,0.793549321,0.999962279,VPS50
0.37759231,-0.285967687,0.642824334,-0.444861329,0.656419971,0.999962279,HSPB6
211.7391327,0.070345224,0.08167451,0.861287375,0.389079787,0.999962279,ARHGAP33
239.7880812,-0.016536132,0.044981457,-0.367621084,0.713155791,0.999962279,NDUFAB1
