Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC12A1,3.090602362,3.827276355,1.087658777,3.518820825,0.000433469,0.506586281
SNTB1-AS2,5.024132419,-2.189047565,0.430674947,-5.082830054,3.72e-07,0.016109017
SLC12A1,3.090602362,3.249386748,1.078862141,3.011864651,0.002596483,0.99864796
CELF5,1.766200665,-2.968105982,0.944067782,-3.14395432,0.001666815,0.99864796
SERTAD4,0.958637622,-3.317546406,1.181729426,-2.807365486,0.004994854,0.826083167
,2.254486268,-4.670838054,2.448378707,-1.907726955,0.056426516,0.999962279
DDR2,1.141209879,-2.743364416,0.867369987,-3.162853752,0.001562308,0.5530035
ATP13A4,0.951152339,-2.528488872,0.752101218,-3.361899718,0.000774082,0.506586281
MATR3_2,2.17544082,-3.921406425,1.820534219,-2.153986662,0.031241218,0.99864796
LOC650293,1.960253241,-2.512484575,0.756686969,-3.320375106,0.000898966,0.685885266
CDKN3,0.573153937,2.513686757,0.804239593,3.12554465,0.001774761,0.569371246
MTRNR2L7,2.054475501,2.213527808,0.640758106,3.454545149,0.000551222,0.506586281
PPP1R1C,1.680658931,-2.492000643,0.815889166,-3.054337216,0.002255584,0.838478549
PXDC1,1.005094281,-2.411330503,0.764707131,-3.153273204,0.001614506,0.5530035
UTP14C,1.744472083,-3.400342898,1.530439806,-2.221807668,0.026296306,0.953142582
gene:ENSG00000285162,0.95098643,-2.663000521,0.944516927,-2.81943123,0.004810884,0.826083167
,0.734412446,2.31337947,0.729118533,3.172844148,0.001509535,0.999962279
C12orf71,1.308877045,-2.409751881,0.795072085,-3.030859627,0.002438586,0.99864796
RASD2,1.06229918,-3.005513506,1.249546324,-2.405283781,0.016159912,0.999962279
SRGAP2-AS1,1.001572023,-2.505204987,0.881781151,-2.841073416,0.004496196,0.999962279
INSL4,1.204085532,-2.539774647,0.923080188,-2.751412804,0.005933881,0.873640957
SDC1,0.719620982,-2.887107326,1.196587034,-2.412785066,0.015831152,0.99864796
RNASE1,1.280715714,2.538925376,0.930037943,2.729915907,0.006335048,0.826083167
LOC101927188,5.06464482,-2.044092631,0.60575356,-3.374462429,0.0007396,0.685885266
FLRT2,4.341436463,-2.024798799,0.605635699,-3.343261969,0.000827997,0.99864796
PRR27,0.627255164,-2.808430965,1.167600258,-2.405301768,0.016159116,0.907388651
LINC01186,0.822336865,-2.521304156,0.975288322,-2.585188501,0.009732577,0.896432057
OTC,1.085367027,-2.588581448,1.032405001,-2.507331374,0.012164661,0.918226321
LINC01264,2.964452567,-2.028254983,0.636387581,-3.187137907,0.001436882,0.789464277
FAM149A,0.913892879,-2.659478157,1.097856364,-2.422428145,0.015417174,0.99864796
MIR1185-2,1.281818606,-2.393541237,0.889453519,-2.691024529,0.007123296,0.873640957
TDRD10,0.75837369,1.680823494,0.440580205,3.815022723,0.00013617,0.842719718
MIR2052HG,2.041953604,2.323650805,0.846968936,2.743489997,0.00607899,0.873640957
TRIM49,1.026955779,-2.638461452,1.093635173,-2.412560894,0.015840891,0.933103078
OR8B4,1.000180572,-2.515934347,0.996442346,-2.524917129,0.011572558,0.918226321
MIR670,0.618506137,-2.659869684,1.114820564,-2.385917313,0.017036581,0.936863579
KRTAP9-2,1.348256554,2.319963238,0.853712999,2.717497849,0.006577758,0.873640957
IFNA17,0.775274067,-2.548167726,1.030380247,-2.473036272,0.013397054,0.918226321
RHPN2,0.701552933,2.725889667,1.184850778,2.300618539,0.021413202,0.929944275
MIR376A2,0.622024871,-2.659062219,1.139384421,-2.333770912,0.019607721,0.936863579
FTMT,2.008016682,2.410063797,0.939133158,2.566264194,0.01028005,0.914059391
GPNMB,0.645465771,-2.253749737,0.830925935,-2.71233529,0.006681098,0.826083167
LDB3,0.579043831,-2.318214554,0.882614436,-2.626531426,0.008626003,0.841192101
F9,0.968893968,-2.430749121,0.992684532,-2.448662231,0.014338784,0.924387406
SCN1A,1.45529057,-2.306003971,0.894707386,-2.577383406,0.009955146,0.851241535
LRP1B,0.801085342,-2.562533306,1.105758961,-2.317442946,0.020479615,0.99864796
SEPTIN14P6,1.796594661,-1.953597173,0.646052589,-3.023898065,0.002495405,0.999962279
OR4N4,0.478996529,-2.652537584,1.193958142,-2.221633649,0.026308074,0.936863579
MIR152,1.270283392,2.240847336,0.852466702,2.628662599,0.008572136,0.880836094
HES6,1.737131919,-1.969234783,0.6782442,-2.903430332,0.003690991,0.99864796
